id,city,state
1,New York,New York
2,Los Angeles,California
3,Chicago,Illinois
4,Houston,Texas
5,Philadelphia,Pennsylvania
6,Phoenix,Arizona
7,San Antonio,Texas
8,San Diego,California
9,Dallas,Texas
10,San Jose,California
11,Austin,Texas
12,Indianapolis,Indiana
13,Jacksonville,Florida
14,San Francisco,California
15,Columbus,Ohio
16,Charlotte,North Carolina
17,Fort Worth,Texas
18,Detroit,Michigan
19,El Paso,Texas
20,Memphis,Tennessee
21,Seattle,Washington
22,Denver,Colorado
23,Washington,District of Columbia
24,Boston,Massachusetts
25,Nashville-Davidson,Tennessee
26,Baltimore,Maryland
27,Oklahoma City,Oklahoma
28,Louisville/Jefferson County,Kentucky
29,Portland,Oregon
30,Las Vegas,Nevada
31,Milwaukee,Wisconsin
32,Albuquerque,New Mexico
33,Tucson,Arizona
34,Fresno,California
35,Sacramento,California
36,Long Beach,California
37,Kansas City,Missouri
38,Mesa,Arizona
39,Virginia Beach,Virginia
40,Atlanta,Georgia
41,Colorado Springs,Colorado
42,Omaha,Nebraska
43,Raleigh,North Carolina
44,Miami,Florida
45,Oakland,California
46,Minneapolis,Minnesota
47,Tulsa,Oklahoma
48,Cleveland,Ohio
49,Wichita,Kansas
50,Arlington,Texas
51,New Orleans,Louisiana
52,Bakersfield,California
53,Tampa,Florida
54,Honolulu,Hawaii
55,Aurora,Colorado
56,Anaheim,California
57,Santa Ana,California
58,St. Louis,Missouri
59,Riverside,California
60,Corpus Christi,Texas
61,Lexington-Fayette,Kentucky
62,Pittsburgh,Pennsylvania
63,Anchorage,Alaska
64,Stockton,California
65,Cincinnati,Ohio
66,St. Paul,Minnesota
67,Toledo,Ohio
68,Greensboro,North Carolina
69,Newark,New Jersey
70,Plano,Texas
71,Henderson,Nevada
72,Lincoln,Nebraska
73,Buffalo,New York
74,Jersey City,New Jersey
75,Chula Vista,California
76,Fort Wayne,Indiana
77,Orlando,Florida
78,St. Petersburg,Florida
79,Chandler,Arizona
80,Laredo,Texas
81,Norfolk,Virginia
82,Durham,North Carolina
83,Madison,Wisconsin
84,Lubbock,Texas
85,Irvine,California
86,Winston-Salem,North Carolina
87,Glendale,Arizona
88,Garland,Texas
89,Hialeah,Florida
90,Reno,Nevada
91,Chesapeake,Virginia
92,Gilbert,Arizona
93,Baton Rouge,Louisiana
94,Irving,Texas
95,Scottsdale,Arizona
